,lat,lon,marker-color
106,37.76719,-122.40549,#000080
107,37.74574,-122.42685,#000080
108,37.75745,-122.40413,#000080
109,37.74574,-122.42685,#000080
110,37.74889999999999,-122.40368,#000080
111,37.74574,-122.42685,#000080
112,37.74574,-122.42685,#000080
113,37.74957,-122.39900000000002,#000080
114,37.751059999999995,-122.39342,#000080
115,37.74574,-122.42685,#000080
116,37.751740000000005,-122.39528000000001,#000080
117,37.74574,-122.42685,#000080
118,37.751740000000005,-122.39527,#000080
119,37.74574,-122.42685,#000080
120,37.75165,-122.39531999999998,#000080
121,37.74574,-122.42685,#000080
122,37.75161,-122.39531,#000080
123,37.74574,-122.42685,#000080
124,37.75161,-122.3953,#000080
125,37.74574,-122.42685,#000080
126,37.74574,-122.42685,#000080
127,37.74574,-122.42685,#000080
128,37.74574,-122.42685,#000080
129,37.74574,-122.42685,#000080
130,37.751459999999994,-122.3956,#000080
131,37.74574,-122.42685,#000080
132,37.75149,-122.39548,#000080
133,37.74574,-122.42685,#000080
134,37.75144000000001,-122.39543000000002,#000080
135,37.74574,-122.42685,#000080
136,37.751380000000005,-122.3954,#000080
137,37.74574,-122.42685,#000080
138,37.7514,-122.39543000000002,#000080
139,37.74574,-122.42685,#000080
140,37.75139,-122.39539,#000080
141,37.74574,-122.42685,#000080
142,37.7514,-122.39534000000002,#000080
143,37.74574,-122.42685,#000080
144,37.751329999999996,-122.39517000000001,#000080
145,37.74574,-122.42685,#000080
146,37.75133,-122.39482,#000080
147,37.74574,-122.42685,#000080
148,37.75129000000001,-122.39489000000002,#000080
149,37.74574,-122.42685,#000080
150,37.7513,-122.39488,#000080
151,37.74574,-122.42685,#000080
152,37.7513,-122.39486999999998,#000080
153,37.74574,-122.42685,#000080
154,37.75133,-122.39484,#000080
155,37.74574,-122.42685,#000080
156,37.75129000000001,-122.39486999999998,#000080
157,37.74574,-122.42685,#000080
158,37.75133,-122.39477999999998,#000080
159,37.75134,-122.39464,#000080
